PatientNHSNumber,Name,Age,Gender,Date_of_Admission,Medical_Record_Number,Medical_History,Chief_Complaint,History_of_Present_Illness,Physical_Examination,Assessment_and_Plan,NHS_Trust_Region
8374926150,John Smith,45,Male,April 15, 2024,123456789,"Hypertension, Type 2 Diabetes Mellitus, Hyperlipidemia","Persistent headache and dizziness","Intermittent headaches mostly frontal, associated with dizziness and blurred vision. Symptoms aggravated with stress and relieved with rest. Denies any history of fever, nausea, vomiting, or visual disturbances.","Blood Pressure: 148/92 mmHg, Pulse Rate: 78 bpm, Temperature: 98.6°F (36.9°C), BMI: 31 (Obese), General Appearance: Alert and oriented, obese male in no acute distress, Neurological Examination: Cranial nerves intact, no focal deficits noted. Reflexes normal.","1. Monitor blood pressure closely. 2. Initiate lifestyle modifications including diet and exercise for weight reduction. 3. Prescribe antihypertensive medication. 4. Recommend regular follow-up appointments for blood pressure monitoring and adjustment of medication as needed.",East_of_England
5291864307,Jane Doe,35,Female,June 5, 2024,987654321,"Asthma, Allergic Rhinitis, Hypothyroidism","Shortness of breath and wheezing","Experiencing shortness of breath and wheezing, worsened with exposure to allergens. Denies chest pain, palpitations, or cough.","Respiratory Rate: 20 bpm, Oxygen Saturation: 95%, Lung examination reveals bilateral expiratory wheezes.","1. Prescribe inhaled corticosteroids and short-acting beta agonists for asthma management. 2. Recommend avoidance of known allergens. 3. Educate on proper inhaler technique. 4. Schedule follow-up to assess treatment response and adjust therapy as needed.",London
6149705283,Michael Johnson,50,Male,July 20, 2024,456789123,"Coronary Artery Disease, Hypertension, Dyslipidemia","Chest pain and shortness of breath","Experiencing chest pain radiating to the left arm and associated shortness of breath. Denies nausea, vomiting, or diaphoresis.","Blood Pressure: 160/100 mmHg, Pulse Rate: 90 bpm, EKG reveals ST-segment depression in leads V1-V3.","1. Administer sublingual nitroglycerin. 2. Order troponin levels and cardiac enzymes. 3. Perform echocardiogram to assess cardiac function. 4. Consult cardiology for further management.",Midlands
7309852164,Emily White,28,Female,August 10, 2024,789123456,"Migraine, Depression, Fibromyalgia","Chronic headaches and fatigue","Reports frequent migraines associated with photophobia and nausea. Also complains of persistent fatigue and generalized body pain.","Vital signs stable. Neurological examination unremarkable.","1. Prescribe triptans for acute migraine relief. 2. Initiate selective serotonin reuptake inhibitor (SSRI) for depression. 3. Refer to pain management for fibromyalgia treatment. 4. Recommend stress-reduction techniques and regular exercise.",North_East_and_Yorkshire
4851039726,Christopher Lee,65,Male,September 3, 2024,321654987,"Type 2 Diabetes Mellitus, Hypertension, Osteoarthritis","Diabetic foot ulcer","Presenting with a non-healing ulcer on the left foot. Denies fever or chills. Reports occasional mild pain at the site.","Blood Pressure: 150/95 mmHg, Blood glucose: 210 mg/dL, Wound inspection reveals necrotic tissue with signs of infection.","1. Initiate broad-spectrum antibiotics. 2. Consult podiatry for wound debridement and offloading. 3. Optimize glycemic control with insulin therapy. 4. Educate on proper foot care and daily wound dressing.",North_West
3962187405,Sarah Brown,40,Female,October 17, 2024,654987321,"Rheumatoid Arthritis, Hypothyroidism, Depression","Joint pain and stiffness","Complaining of persistent joint pain and morning stiffness lasting more than an hour. Also reports low mood and fatigue.","Limited range of motion in multiple joints. Tender and swollen MCP and PIP joints bilaterally. Thyroid gland not palpable.","1. Prescribe disease-modifying antirheumatic drugs (DMARDs) for rheumatoid arthritis. 2. Initiate levothyroxine for hypothyroidism. 3. Refer to rheumatology for further evaluation and management. 4. Start antidepressant therapy for depression.",South_East
8613425079,David Taylor,55,Male,November 25, 2024,234567890,"Chronic Obstructive Pulmonary Disease (COPD), Hypertension, Type 2 Diabetes Mellitus","Exacerbation of COPD","Presenting with increased dyspnea, productive cough, and wheezing. Denies fever or chest pain.","Respiratory Rate: 24 bpm, Oxygen Saturation: 88% on room air, Bilateral wheezing and prolonged expiration.","1. Administer oxygen therapy to maintain oxygen saturation above 90%. 2. Prescribe systemic corticosteroids and bronchodilators. 3. Perform arterial blood gas analysis. 4. Consider non-invasive ventilation if respiratory distress worsens.",South_West
9703581264,Michelle Garcia,50,Female,December 12, 2024,876543210,"Hypertension, Dyslipidemia, Depression","Fatigue and insomnia","Complaining of persistent fatigue and difficulty falling asleep. Denies suicidal ideation or changes in appetite.","Blood Pressure: 140/85 mmHg, BMI: 29 (Overweight), Thyroid gland not palpable.","1. Screen for thyroid dysfunction with TSH levels. 2. Recommend lifestyle modifications including regular exercise and stress reduction techniques. 3. Start selective serotonin reuptake inhibitor (SSRI) for depression. 4. Refer to sleep medicine for further evaluation and management.",East_of_England
2986430715,Robert Martinez,60,Male,January 7, 2025,543210987,"Atrial Fibrillation, Hypertension, Type 2 Diabetes Mellitus","Palpitations and dizziness","Experiencing episodes of rapid irregular heartbeat associated with dizziness and chest discomfort. Denies syncope or shortness of breath at rest.","Irregularly irregular pulse, Blood Pressure: 160/95 mmHg, EKG shows atrial fibrillation with rapid ventricular response.","1. Initiate anticoagulation therapy with warfarin or direct oral anticoagulants. 2. Prescribe rate or rhythm control medications. 3. Order echocardiogram to assess cardiac function. 4. Educate on stroke prevention strategies and lifestyle modifications.",London
7405862391,Lisa Anderson,35,Female,February 20, 2025,210987654,"Asthma, Allergic Rhinitis, Anxiety","Shortness of breath and chest tightness","Presenting with acute exacerbation of asthma characterized by shortness of breath and chest tightness. Denies fever or cough.","Respiratory Rate: 28 bpm, Wheezing auscultated bilaterally. Oxygen saturation: 92% on room air.","1. Administer inhaled short-acting beta agonists and systemic corticosteroids. 2. Consider nebulized bronchodilators for severe exacerbation. 3. Educate on asthma action plan and trigger avoidance. 4. Schedule follow-up to assess response to treatment and adjust therapy as needed.",Midlands
2951387640,Steven Wilson,70,Male,March 5, 2025,876543210,"Hypertension, Type 2 Diabetes Mellitus, Coronary Artery Disease","Chest pain and diaphoresis","Complaining of severe retrosternal chest pain radiating to the left arm, associated with diaphoresis. Denies dyspnea or nausea.","Blood Pressure: 180/110 mmHg, EKG shows ST-segment elevation in leads V2-V6.","1. Administer aspirin and nitroglycerin. 2. Order emergent cardiac catheterization. 3. Consult cardiology for acute coronary syndrome management. 4. Monitor for signs of heart failure and arrhythmias.",North_East_and_Yorkshire
6134290857,Amanda Thompson,25,Female,April 10, 2025,543210987,"Major Depressive Disorder, Anxiety, Migraine","Depression and frequent headaches","Reports persistent low mood, anhedonia, and feelings of worthlessness. Also complains of frequent migraines with aura.","Vital signs stable. Neurological examination unremarkable.","1. Initiate selective serotonin reuptake inhibitor (SSRI) therapy for depression. 2. Prescribe triptans for acute migraine relief. 3. Recommend psychotherapy and stress management techniques. 4. Schedule regular follow-up appointments to monitor treatment response and adjust therapy as needed.",North_West
9240617538,Kevin Garcia,48,Male,May 15, 2025,210987654,"Type 2 Diabetes Mellitus, Hypertension, Dyslipidemia","Foot ulcer and visual changes","Presenting with a non-healing foot ulcer and blurred vision in the left eye. Denies fever or chills. Reports occasional mild pain at the ulcer site.","Blood Pressure: 150/90 mmHg, Blood glucose: 220 mg/dL, Wound inspection reveals signs of infection with surrounding erythema.","1. Initiate broad-spectrum antibiotics. 2. Consult ophthalmology for diabetic retinopathy evaluation. 3. Optimize glycemic control with insulin therapy. 4. Educate on proper foot care and daily wound dressing.",South_East
3871452096,Julie Moore,55,Female,June 30, 2025,987654321,"Osteoarthritis, Hypothyroidism, Depression","Joint pain and fatigue","Complaining of persistent joint pain, particularly in the knees and hands. Also reports fatigue and low mood.","Limited range of motion in affected joints. Thyroid gland not palpable. No signs of synovitis or effusion.","1. Prescribe nonsteroidal anti-inflammatory drugs (NSAIDs) for pain relief. 2. Initiate levothyroxine for hypothyroidism. 3. Start selective serotonin reuptake inhibitor (SSRI) therapy for depression. 4. Refer to physical therapy for joint strengthening exercises.",South_West
7529381640,Richard Baker,62,Male,July 25, 2025,654321098,"Chronic Kidney Disease, Hypertension, Type 2 Diabetes Mellitus","Fatigue and pedal edema","Complaining of persistent fatigue and swelling in both lower extremities. Denies chest pain or dyspnea.","Blood Pressure: 160/95 mmHg, Peripheral edema in lower extremities up to the ankles.","1. Order comprehensive metabolic panel and urinalysis. 2. Adjust antihypertensive medication regimen. 3. Educate on dietary restrictions and fluid management. 4. Refer to nephrology for further evaluation and management of chronic kidney disease.",East_of_England
6482739051,Susan Clark,48,Female,August 12, 2025,321098765,"Asthma, Allergic Rhinitis, Anxiety","Shortness of breath and wheezing","Presenting with acute exacerbation of asthma characterized by shortness of breath and audible wheezing. Denies fever or chest pain.","Respiratory Rate: 30 bpm, Audible wheezing on auscultation. Oxygen saturation: 90% on room air.","1. Administer inhaled short-acting beta agonists and systemic corticosteroids. 2. Consider nebulized bronchodilators for severe exacerbation. 3. Educate on asthma action plan and trigger avoidance. 4. Schedule follow-up to assess response to treatment and adjust therapy as needed.",London
5219047368,Matthew Young,30,Male,September 5, 2025,765432109,"Type 1 Diabetes Mellitus, Depression, Anxiety","Hypoglycemia and low mood","Experiencing frequent episodes of hypoglycemia associated with low mood and irritability. Denies suicidal ideation or changes in appetite.","Blood Glucose: 60 mg/dL, Vital signs stable.","1. Educate on hypoglycemia management including glucose monitoring and carbohydrate intake. 2. Initiate insulin therapy adjustment. 3. Start selective serotonin reuptake inhibitor (SSRI) therapy for depression. 4. Recommend psychotherapy and stress management techniques.",Midlands
9361584072,Jennifer King,40,Female,October 20, 2025,098765432,"Hypothyroidism, Depression, Fibromyalgia","Fatigue and joint pain","Complaining of persistent fatigue and generalized body pain. Denies fever or weight changes.","Thyroid gland not palpable. Tender points noted in multiple areas. No signs of synovitis or effusion.","1. Initiate levothyroxine for hypothyroidism. 2. Start selective serotonin reuptake inhibitor (SSRI) therapy for depression. 3. Refer to pain management for fibromyalgia treatment. 4. Recommend stress-reduction techniques and regular exercise.",North_East_and_Yorkshire
